건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
SH도시형생활주택(1),서울특별시 구로구 천왕동 블록,0,0,0,0,0,0,0,0,구로구,천왕동,15753.0,0.0502761378784993,0.259379165873167,0.1067098330476734,0.2740430394210627,6287.0,0.2834420232225226,0.2761253379990456,0.4404326387784317,103.9,50.9,72.7,123.0,11.3,18.5
SH아파트 6BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
SH아파트 8BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
SH아파트(10-1BL),서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
SH아파트(11BL),서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
SUITE HILL,서울특별시 서초구 서초동 1622-9번지,0,0,0,0,0,0,0,0,서초구,서초동,104990.0,0.0632345937708353,0.2129345651966854,0.1359653300314315,0.3272692637394037,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704,488.0,243.0,352.0,763.0,48.0,53.0
TRIZIUM 980,서울특별시 강서구 화곡동 980-26번지,0,0,0,0,1,0,0,0,강서구,화곡동,211821.0,0.0439144371898914,0.2711865206943598,0.1474074808446754,0.3204167669872203,107821.0,0.4762801309577911,0.2404633605698333,0.2832565084723755,220.0,132.0,155.0,242.0,28.0,56.0
dk182,서울특별시 강서구 화곡동 1128-5번지,0,0,0,0,0,1,0,0,강서구,화곡동,211821.0,0.0439144371898914,0.2711865206943598,0.1474074808446754,0.3204167669872203,107821.0,0.4762801309577911,0.2404633605698333,0.2832565084723755,220.0,132.0,155.0,242.0,28.0,56.0
e편한세상 광진 그랜드파크,서울특별시 광진구 구의동 680번지,0,1,1,1,0,0,0,0,광진구,구의동,75353.0,0.046248988096028,0.2503417249479118,0.1547250938914177,0.311971653417913,36702.0,0.4548525965887418,0.2219770039779848,0.3231703994332734,154.0,92.0,175.0,211.0,29.0,21.0
e편한세상 마포3차,서울특별시 마포구 용강동 91-1번지,0,0,1,1,0,1,0,0,마포구,용강동,7339.0,0.0892492165145115,0.1970295680610437,0.0900667665894536,0.3497751737293909,3091.0,0.3241669362665804,0.2135231316725978,0.4623099320608217,65.0,39.0,73.0,83.0,6.0,8.0
e편한세상 보문,서울특별시 성북구 보문동3가 225번지,0,1,1,1,0,0,0,0,성북구,보문동3가,,0.0546649594854812,0.2836057403285708,0.1333804375054982,0.2762774875526989,,0.3851498476312959,0.2416382977888255,0.3732118545798785,36.0,9.0,15.0,25.0,5.0,2.0
e편한세상 서대문,서울특별시 서대문구 홍은동 104-4번지,0,1,1,1,0,0,0,0,서대문구,홍은동,49810.0,0.0518972093957036,0.2996988556514756,0.1291708492270628,0.2758482232483437,22693.0,0.3833340677742035,0.2501211827435773,0.3665447494822192,51.0,26.0,89.0,67.0,15.0,4.0
