건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
갈현동 도시형생활주택,서울특별시 은평구 갈현동 481-20번지,0,0,0,0,0,0,0,0,은평구,갈현동,41151.0,0.03241719520789288,0.30351631795096107,0.14084712400670701,0.27282447571140434,19973.0,0.42692635057327394,0.25729735142442295,0.3157762980023031
강남 더샵 포레스트,서울특별시 강남구 수서동 537번지,1,1,1,1,0,0,1,0,강남구,수서동,21165.0,0.05046066619418852,0.38294353886132765,0.0791400897708481,0.2819277108433735,10599.0,0.45306160958581,0.26596848759316916,0.28096990282102086
강남 효성해링턴 코트,서울특별시 강남구 세곡동 541번지,0,0,1,0,0,0,0,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.10790186849236913,0.29368135786621025,5506.0,0.25590265165274245,0.27987649836541956,0.464220849981838
강남데시앙포레,서울특별시 강남구 수서동 블록,0,0,0,0,0,0,0,0,강남구,수서동,21165.0,0.05046066619418852,0.38294353886132765,0.0791400897708481,0.2819277108433735,10599.0,0.45306160958581,0.26596848759316916,0.28096990282102086
강남센트럴아이파크,서울특별시 강남구 역삼동 712-3번지,1,1,1,1,0,0,1,0,강남구,역삼동,68953.0,0.040041767580815915,0.152857743680478,0.15587429118384988,0.40176642060533985,39460.0,0.6150532184490624,0.14442473390775468,0.24052204764318297
강남한양수자인,서울특별시 강남구 율현동 블록,1,1,1,1,1,0,1,0,강남구,율현동,3642.0,0.07962657880285558,0.2506864360241626,0.10269082921471719,0.33360790774299837,1669.0,0.3547034152186938,0.26003594967046134,0.3852606351108448
강북3 재정비촉진구역 재개발 정비사업,서울특별시 강북구 미아동 45-32번지,0,0,1,0,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
강북구 번동 모아주택 1구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-114번지,1,0,1,1,0,0,1,0,강북구,번동,46521.0,0.031190215171642915,0.36890866490402185,0.1267599578684895,0.24728617183637497,24702.0,0.4919439721480042,0.25977653631284914,0.24827949153914664
강북구 번동 모아주택 2구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-97번지,1,0,1,1,0,0,1,0,강북구,번동,46521.0,0.031190215171642915,0.36890866490402185,0.1267599578684895,0.24728617183637497,24702.0,0.4919439721480042,0.25977653631284914,0.24827949153914664
강북구 번동 모아주택 3구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 430-27번지,1,0,1,1,1,1,1,0,강북구,번동,46521.0,0.031190215171642915,0.36890866490402185,0.1267599578684895,0.24728617183637497,24702.0,0.4919439721480042,0.25977653631284914,0.24827949153914664
강북구 번동 모아주택 4구역 가로주택정비사업 신축공사	,서울특별시 강북구 번동 428-4번지,1,1,1,1,0,1,1,0,강북구,번동,46521.0,0.031190215171642915,0.36890866490402185,0.1267599578684895,0.24728617183637497,24702.0,0.4919439721480042,0.25977653631284914,0.24827949153914664
강북구 번동 모아주택 5구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 427-63번지,1,1,1,1,1,1,1,0,강북구,번동,46521.0,0.031190215171642915,0.36890866490402185,0.1267599578684895,0.24728617183637497,24702.0,0.4919439721480042,0.25977653631284914,0.24827949153914664
강북구 수유동 역세권 청년주택,서울특별시 강북구 수유동 47-52번지,0,1,0,0,0,0,0,1,강북구,수유동,99364.0,0.03354333561450827,0.3479731089730687,0.13372046213920535,0.2554949478684433,52248.0,0.4934351554126474,0.24626779972439136,0.26029704486296124
