단지키,구,법정동,대표단지명,대표대지위치,주소수,원건물명수,시설행수,분류시설행수,주소예시,원건물명예시,법정동_key,행정동_매칭키,상권_매칭방식,인구_직접매칭,세대_직접매칭,상권_법정동매칭,상권_행정동매칭,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,ratio_child,ratio_elderly,ratio_young,ratio_middle,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수,원본상권총업소수,카페수_log,헬스장수_log,학원수_log,기타학원수_log,독서실수_log,사우나수_log,원본상권총업소수_log,구_단지수,생활권역_동남권,생활권역_동북권,생활권역_서남권,생활권역_서북권
강남구 | 대치동 | 우성2차아파트,강남구,대치동,우성2차아파트,서울특별시 강남구 대치동 985번지,1,1,5,3,서울특별시 강남구 대치동 985번지,우성2차아파트,대치동,대치,법정동직접,1,1,1,1,0,1,1,1,0,0,0,0,0.05374229748008617,0.1869019588196984,0.10859926857371875,0.29598967987575775,0.27784407319013527,0.17740652346857597,0.5447494033412887,249,64,1240,434,130,7,8065,5.521460917862246,4.174387269895637,7.123672785204607,6.075346031088684,4.875197323201151,2.0794415416798357,8.995412975433313,66,1,0,0,0
강남구 | 대치동 | 현대썬앤빌 테헤란,강남구,대치동,현대썬앤빌 테헤란,서울특별시 강남구 대치동 894번지,1,1,2,2,서울특별시 강남구 대치동 894번지,현대썬앤빌 테헤란,대치동,대치,법정동직접,1,1,1,1,1,0,0,0,1,0,1,0,0.05374229748008617,0.1869019588196984,0.10859926857371875,0.29598967987575775,0.27784407319013527,0.17740652346857597,0.5447494033412887,249,64,1240,434,130,7,8065,5.521460917862246,4.174387269895637,7.123672785204607,6.075346031088684,4.875197323201151,2.0794415416798357,8.995412975433313,66,1,0,0,0
강남구 | 도곡동 | 개포 럭키아파트,강남구,도곡동,개포 럭키아파트,서울특별시 강남구 도곡동 462번지,1,1,11,6,서울특별시 강남구 도곡동 462번지,개포 럭키아파트,도곡동,도곡,법정동직접,1,1,1,1,1,0,1,1,0,0,1,1,0.07079120710784313,0.22587316176470587,0.10948988970588236,0.2923751531862745,0.24268633935385397,0.2093614856270669,0.5479521750190791,101,23,80,162,16,3,2501,4.624972813284271,3.1780538303479458,4.394449154672439,5.093750200806762,2.833213344056216,1.3862943611198906,7.824845691026857,66,1,0,0,0
강남구 | 도곡동 | 도곡 월드메르디앙 아파트,강남구,도곡동,도곡 월드메르디앙 아파트,서울특별시 강남구 도곡동 893-1번지,1,1,1,0,서울특별시 강남구 도곡동 893-1번지,도곡 월드메르디앙 아파트,도곡동,도곡,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.07079120710784313,0.22587316176470587,0.10948988970588236,0.2923751531862745,0.24268633935385397,0.2093614856270669,0.5479521750190791,101,23,80,162,16,3,2501,4.624972813284271,3.1780538303479458,4.394449154672439,5.093750200806762,2.833213344056216,1.3862943611198906,7.824845691026857,66,1,0,0,0
강남구 | 도곡동 | 도곡 한라비발디,강남구,도곡동,도곡 한라비발디,서울특별시 강남구 도곡동 893-2번지,1,1,3,2,서울특별시 강남구 도곡동 893-2번지,도곡 한라비발디,도곡동,도곡,법정동직접,1,1,1,1,0,0,1,1,0,0,0,0,0.07079120710784313,0.22587316176470587,0.10948988970588236,0.2923751531862745,0.24268633935385397,0.2093614856270669,0.5479521750190791,101,23,80,162,16,3,2501,4.624972813284271,3.1780538303479458,4.394449154672439,5.093750200806762,2.833213344056216,1.3862943611198906,7.824845691026857,66,1,0,0,0
강남구 | 도곡동 | 도곡동547-1일원 가로주택정비사업,강남구,도곡동,도곡동547-1일원 가로주택정비사업,서울특별시 강남구 도곡동 547-1번지,1,1,1,1,서울특별시 강남구 도곡동 547-1번지,도곡동547-1일원 가로주택정비사업,도곡동,도곡,법정동직접,1,1,1,1,1,0,0,0,0,0,1,1,0.07079120710784313,0.22587316176470587,0.10948988970588236,0.2923751531862745,0.24268633935385397,0.2093614856270669,0.5479521750190791,101,23,80,162,16,3,2501,4.624972813284271,3.1780538303479458,4.394449154672439,5.093750200806762,2.833213344056216,1.3862943611198906,7.824845691026857,66,1,0,0,0
강남구 | 도곡동 | 서울특별시 강남구 도곡동,강남구,도곡동,,서울특별시 강남구 도곡동,1,1,1,1,서울특별시 강남구 도곡동,,도곡동,도곡,법정동직접,1,1,1,1,0,0,0,0,1,0,0,0,0.07079120710784313,0.22587316176470587,0.10948988970588236,0.2923751531862745,0.24268633935385397,0.2093614856270669,0.5479521750190791,101,23,80,162,16,3,2501,4.624972813284271,3.1780538303479458,4.394449154672439,5.093750200806762,2.833213344056216,1.3862943611198906,7.824845691026857,66,1,0,0,0
"강남구 | 삼성동 | 삼성동 71-8,9 주거복합",강남구,삼성동,"삼성동 71-8,9 주거복합",서울특별시 강남구 삼성동 71-8번지,1,1,1,0,서울특별시 강남구 삼성동 71-8번지,"삼성동 71-8,9 주거복합",삼성동,삼성,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.05901387856851794,0.20499053189194372,0.12361274239555119,0.33668112850260073,0.4219324992114394,0.19461675954158342,0.3834507412469772,251,53,99,251,13,6,6878,5.529429087511423,3.9889840465642745,4.605170185988092,5.529429087511423,2.639057329615259,1.9459101490553132,8.836228571526014,66,1,0,0,0
강남구 | 삼성동 | 삼성동센트럴아이파크,강남구,삼성동,삼성동센트럴아이파크,서울특별시 강남구 삼성동 188번지,1,1,3,2,서울특별시 강남구 삼성동 188번지,삼성동센트럴아이파크,삼성동,삼성,법정동직접,1,1,1,1,0,1,0,1,0,0,0,0,0.05901387856851794,0.20499053189194372,0.12361274239555119,0.33668112850260073,0.4219324992114394,0.19461675954158342,0.3834507412469772,251,53,99,251,13,6,6878,5.529429087511423,3.9889840465642745,4.605170185988092,5.529429087511423,2.639057329615259,1.9459101490553132,8.836228571526014,66,1,0,0,0
강남구 | 삼성동 | 삼성지구 도시형생활주택,강남구,삼성동,삼성지구 도시형생활주택,서울특별시 강남구 삼성동 109-21번지,1,1,1,0,서울특별시 강남구 삼성동 109-21번지,삼성지구 도시형생활주택,삼성동,삼성,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.05901387856851794,0.20499053189194372,0.12361274239555119,0.33668112850260073,0.4219324992114394,0.19461675954158342,0.3834507412469772,251,53,99,251,13,6,6878,5.529429087511423,3.9889840465642745,4.605170185988092,5.529429087511423,2.639057329615259,1.9459101490553132,8.836228571526014,66,1,0,0,0
