건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
마포월드컵제이스카이아파트,서울특별시 마포구 망원동 523번지,0,0,0,0,0,0,0,0,1
마포프레스티지자이,서울특별시 마포구 염리동 507번지,1,1,1,1,0,0,1,0,1
만리동 예술인 협동조합형 공공주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,1
만리동예술인협동조합주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,1
망우동 세움2차 아파트 신축공사,서울특별시 중랑구 망우동 207-16번지,0,0,0,0,1,0,0,0,0
망우역 신원아침도시,서울특별시 중랑구 신내동 488번지,0,0,0,0,1,0,0,0,0
망원동 동원데쟈뷰아파트,서울특별시 마포구 망원동 466-2번지,0,0,1,1,0,0,0,0,1
메이플자이,서울특별시 서초구 잠원동 60-3번지,1,1,1,1,0,1,1,1,1
면목 루브루,서울특별시 중랑구 면목동 1542번지,0,0,0,0,0,0,0,0,1
면목동 준공공임대주택,서울특별시 중랑구 면목동 20-40번지,0,0,0,0,0,0,0,1,0
명륜1가 46-1,서울특별시 종로구 명륜1가 46-1번지,0,0,0,0,0,1,0,0,0
명일동 준공공임대주택,서울특별시 강동구 명일동 353-2번지,0,0,0,0,0,0,0,0,1
명지해드는터,서울특별시 양천구 신정동 1300번지,0,0,0,0,1,0,0,0,0
목동 중앙하이츠,서울특별시 양천구 신정동 282-71번지,0,1,1,1,0,0,0,0,0
목동센트럴 아이파크위브 1단지,서울특별시 양천구 신월동 1075번지,1,1,1,1,1,0,1,1,1
목동센트럴 아이파크위브 2단지,서울특별시 양천구 신월동 1076번지,1,1,1,1,1,0,1,1,1
목동센트럴 아이파크위브 3단지,서울특별시 양천구 신월동 1077번지,1,1,1,1,1,0,1,1,0
목동센트럴 아이파크위브 4단지,서울특별시 양천구 신월동 1078번지,1,1,1,1,1,0,1,1,1
목동파크자이,서울특별시 양천구 신정동 171-61번지,1,1,1,1,0,0,1,0,0
묵동 역세권 청년주택,서울특별시 중랑구 묵동 8번지,1,1,1,0,1,1,1,1,1
문래 롯데캐슬,서울특별시 영등포구 문래동6가 57번지,1,1,1,1,0,0,1,0,1
문래동모아미래도아파트,서울특별시 영등포구 문래동5가 67번지,0,0,1,1,0,0,0,0,1
문래진주아파트 주택재건축정비사업,서울특별시 영등포구 문래동5가 22번지,0,0,0,0,0,0,0,0,1
문정래미안아파트,서울특별시 송파구 문정동 1번지,0,0,0,0,1,0,0,0,0
문정역 마에스트로,서울특별시 송파구 문정동 55-6번지,0,0,0,0,0,0,0,0,1
문정역 역세권 청년주택,서울특별시 송파구 문정동 55-6번지,0,0,0,0,0,0,0,0,1
미래빌라 소규모재건축 정비사업,서울특별시 구로구 오류동 68-21번지,0,0,1,1,0,0,0,0,1
미랜드퀸아파트,서울특별시 송파구 풍납동 254번지,0,0,0,0,0,0,0,0,1
미성연립재건축아파트,서울특별시 성동구 용답동 59-2번지,0,0,1,0,0,0,0,0,0
미성주택 소규모재건축정비사업,서울특별시 성동구 마장동 767-56번지,0,0,0,0,0,0,0,0,1
미아10-1구역 재개발 아파트,서울특별시 강북구 미아동 476번지,0,0,0,1,0,0,0,0,0
미아9-2구역 주택재건축 정비사업,서울특별시 강북구 미아동 137-72번지,0,1,1,1,1,0,0,0,1
미아뉴타운 두산위브 트레지움,서울특별시 강북구 미아동 653번지,1,1,1,1,1,0,1,0,1
미아뉴타운제8구역재개발,서울특별시 강북구 미아동 653번지,0,0,1,1,1,0,0,0,0
미아뉴타운지구 제12구역 주택재개발,서울특별시 강북구 미아동 1265-42번지,1,1,1,1,1,0,1,0,1
미아동 703외 2필지 도시형생활주택(아파트형주택),서울특별시 강북구 미아동 703번지,0,0,1,0,0,0,0,0,0
미아동 760-38번지 일원  자율주택정비사업 아파트,서울특별시 강북구 미아동 760-38번지,0,0,0,0,0,0,0,0,1
미아재정비촉진4구역주택재건축정비사업,서울특별시 강북구 미아동 1261-376번지,0,0,1,1,0,0,0,0,0
미정,서울특별시 강남구 대치동 951-3번지,0,1,1,1,0,1,0,0,1
반도유보라,서울특별시 영등포구 당산동4가 1-3번지,0,0,1,1,0,0,0,0,0
반포 르엘,서울특별시 서초구 잠원동 74-1번지,1,1,1,1,0,0,1,0,0
반포 미주 재건축 아파트,서울특별시 서초구 반포동 16-1번지,0,0,1,1,0,0,0,0,1
반포 센트레빌 아스테리움,서울특별시 서초구 반포동 30-16번지,1,1,1,0,0,1,1,1,0
반포센트럴자이,서울특별시 서초구 잠원동 74-2번지,1,1,1,1,0,1,1,1,0
반포써밋,서울특별시 서초구 반포동 1342번지,1,1,1,1,0,0,1,0,1
반포아파트 (제3주구),서울특별시 서초구 반포동 1109번지,1,1,1,1,0,1,1,0,0
반포자이,서울특별시 서초구 반포동 20-43번지,1,0,1,1,1,0,1,0,0
발산역 역세권청년주택,서울특별시 강서구 내발산동 647-1번지,0,0,0,0,0,0,0,0,1
발쿠치네하우스,서울특별시 강서구 공항동 60-8번지,0,0,0,0,1,0,0,0,0
