건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
길동이화아파트,서울특별시 강동구 길동 348-4번지,0,0,0,0,0,0,0,0,1
길음 뉴타운 11단지 롯데캐슬 골든힐스,서울특별시 성북구 정릉동 192-71번지,1,1,1,1,0,1,1,0,1
길음4재정비촉진구역 주택재개발,서울특별시 성북구 정릉동 170-1번지,1,0,1,1,0,0,1,0,1
길음7구역 두산위브아파트,서울특별시 성북구 길음동 1285번지,0,1,1,1,0,1,0,0,1
길음동 성우스타팰리스,서울특별시 성북구 길음동 1175번지,0,0,0,0,0,0,0,0,1
길음시장 정비사업,서울특별시 성북구 길음동 535-8번지,1,1,1,1,0,0,1,0,1
길음역 금호어울림 센터힐,서울특별시 성북구 돈암동 13-7번지,0,1,1,1,0,0,0,0,1
길음역 롯데캐슬 트윈골드,서울특별시 성북구 길음동 542-1번지,1,1,1,1,0,0,1,0,0
길훈아파트,서울특별시 구로구 개봉동 312-38번지,0,0,1,1,0,1,0,0,1
까치산공원 주택재건축아파트,서울특별시 관악구 봉천동 100-2번지,0,1,1,1,0,0,0,0,1
까치산공원아파트,서울특별시 관악구 봉천동 100-2번지,0,0,0,0,1,0,0,0,0
꿈의 숲 해링턴 플레이스 아파트,서울특별시 강북구 미아동 3-19번지,1,0,1,1,0,0,1,0,1
꿈의숲 SK VIEW,서울특별시 노원구 월계동 531번지,1,1,1,1,0,0,1,1,1
꿈의숲 푸르지오,서울특별시 성북구 하월곡동 산2-11번지,1,1,1,1,0,0,1,0,1
꿈의숲대명루첸아파트,서울특별시 성북구 장위동 317번지,1,1,1,1,0,1,1,0,1
꿈의숲아이파크,서울특별시 성북구 장위동 323번지,1,1,1,1,1,0,1,0,0
나인원 한남,서울특별시 용산구 한남동 680-1번지,0,1,1,1,0,0,0,0,0
남구로역세권 공공임대주택,서울특별시 구로구 구로동 715-24번지,1,0,1,1,0,0,1,0,1
남산 롯데캐슬,서울특별시 중구 회현동1가 37-6번지,0,0,0,1,0,0,0,0,1
남서울힐스테이트,서울특별시 금천구 시흥동 789번지,0,1,1,1,0,1,0,0,1
남성아파트 주택재건축정비사업,서울특별시 영등포구 문래동2가 35번지,1,1,1,1,0,0,1,0,1
노들역세권 공공임대주택 건립사업,서울특별시 동작구 본동 402-1번지,0,1,1,1,0,0,0,0,0
노량진 56-1번지 역세권 청년주택,서울특별시 동작구 노량진동 56-1번지,1,1,1,0,0,0,1,1,1
노량진 본동 주거복합,서울특별시 동작구 본동 441번지,0,1,1,1,0,0,0,0,1
노량진 쌍용 예가,서울특별시 동작구 노량진동 122-37번지,0,0,1,1,0,0,0,0,1
노량진1재정비촉진구역주택재개발정비사업,서울특별시 동작구 노량진동 278-2번지,0,1,1,0,0,0,0,0,1
노량진2재정비촉진주상복합,서울특별시 동작구 노량진동 312-75번지,1,1,1,1,0,1,1,0,1
노량진4재정비촉진구역 주택재개발정비사업,서울특별시 동작구 노량진동 227-5번지,0,1,1,1,0,0,0,0,1
노량진5구역 주택재개발정비사업 신축공사,서울특별시 동작구 노량진동 270-3번지,0,0,1,1,0,0,0,0,1
노량진6재정비촉진구역 주택재개발아파트,서울특별시 동작구 노량진동 294-220번지,1,0,1,1,0,0,1,0,1
노량진8재정비촉진구역주택재개발정비사업,서울특별시 동작구 대방동 23-61번지,1,1,1,1,0,0,1,0,1
노량진동 117-2번지 일원 청년안심주택,서울특별시 동작구 노량진동 117-2번지,0,0,0,0,0,0,0,0,1
노량진동 117-2일원 역세권 청년주택,서울특별시 동작구 노량진동 117-2번지,0,0,0,0,0,0,0,0,1
노블에비뉴,서울특별시 마포구 성산동 262-1번지,0,0,0,0,0,0,0,0,1
노원 에너지제로 주택,서울특별시 노원구 하계동 251-9번지,0,0,0,1,1,1,0,0,0
노원구 상계동 역세권 청년주택,서울특별시 노원구 상계동 1049-71번지,0,1,0,0,0,1,0,1,1
녹번역 e편한세상 캐슬,서울특별시 은평구 응암동 36번지,1,1,1,1,0,0,1,0,1
녹번역센트레빌,서울특별시 은평구 응암동 171-1번지,1,1,1,1,1,1,1,0,0
녹천역 두산위브,서울특별시 노원구 월계동 950번지,0,0,1,0,0,0,0,0,0
논현 아이파크,서울특별시 강남구 논현동 225-6번지,0,0,0,0,0,0,0,0,1
논현동 114 주상복합,서울특별시 강남구 논현동 114번지,0,0,0,0,0,0,0,0,1
다다름하우스2,서울특별시 은평구 구산동 202-18번지,0,0,0,0,0,0,0,0,1
다숲,서울특별시 관악구 신림동 1740번지,0,0,0,0,1,0,0,0,0
다울숲,서울특별시 구로구 구로동 1286번지,0,0,1,0,0,0,0,0,0
다원리치타운,서울특별시 구로구 오류동 358번지,0,0,0,0,0,0,0,0,1
답십리제14구역 주택재개발정비사업,서울특별시 동대문구 답십리동 25번지,1,1,1,1,0,1,1,0,1
당산계룡리슈빌1단지,서울특별시 영등포구 당산동3가 564번지,0,0,0,0,0,0,0,0,1
당산계룡리슈빌3단지,서울특별시 영등포구 당산동3가 565번지,1,1,1,0,0,1,1,0,0
당산동 삼익플라주아파트,서울특별시 영등포구 당산동4가 74번지,0,0,1,0,0,0,0,0,0
당산동2가 청년주택,서울특별시 영등포구 당산동2가 45-5번지,0,0,1,0,0,0,0,0,0
당산센트럴아이파크,서울특별시 영등포구 당산동5가 43번지,0,0,0,0,0,1,0,0,1
대농연립주택재건축아파트,서울특별시 중랑구 중화동 208-21번지,0,0,1,1,0,0,0,0,1
대림갑을아파트,서울특별시 영등포구 대림동 1119번지,0,0,0,0,1,0,0,0,0
대림동 청년주택,서울특별시 영등포구 대림동 986-4번지,0,0,0,0,0,0,0,0,1
대명루첸아파트,서울특별시 성동구 성수동2가 840번지,0,0,1,1,0,0,0,0,1
대명벨리온,서울특별시 강남구 역삼동 727-2번지,0,0,0,0,0,0,0,0,1
대명삼보연립재건축 아파트,서울특별시 중랑구 중화동 1-1번지,1,0,1,1,1,1,1,0,0
대방(군관사) 위탁개발사업 설계용역,서울특별시 영등포구 신길동 1280번지,0,0,1,1,1,1,0,1,1
대방동 한숲타운 대림 아파트,서울특별시 동작구 대방동 348-1번지,0,0,0,0,1,0,0,0,0
대방아데나339,서울특별시 동작구 대방동 515번지,0,0,0,0,0,0,0,0,1
대신빌라,서울특별시 도봉구 창동 466번지,0,0,0,0,0,0,0,0,1
대영아파트,서울특별시 광진구 자양동 224-15번지,0,0,1,0,0,0,0,0,0
대정이오스,서울특별시 서대문구 연희동 719-5번지,0,0,0,0,0,0,0,0,1
대조제1구역,서울특별시 은평구 대조동 88번지,0,0,1,1,1,0,0,0,1
대치 SK VIEW,서울특별시 강남구 대치동 612번지,0,0,0,1,0,0,0,0,0
대치 더 클래스,서울특별시 강남구 대치동 1019-3번지,1,0,0,0,1,0,1,0,0
대치 르엘,서울특별시 강남구 대치동 977번지,1,0,1,1,0,0,1,0,1
대치동 구마을3지구 주택재개발정비사업,서울특별시 강남구 대치동 964번지,1,1,1,1,0,1,1,1,1
대치동4차 풍림 아이원 아파트,서울특별시 강남구 대치동 1007-2번지,0,0,0,0,1,0,0,0,0
대치쌍용1차,서울특별시 강남구 대치동 66번지,1,1,1,1,0,0,1,0,0
대치쌍용2차 아파트,서울특별시 강남구 대치동 65번지,1,1,1,1,0,0,1,0,1
대치푸르지오써밋,서울특별시 강남구 대치동 963번지,1,1,1,1,0,0,1,0,1
대치한신휴플러스,서울특별시 강남구 대치동 907-2번지,0,0,0,0,1,0,0,0,0
더 트루엘 마곡 HQ,서울특별시 강서구 공항동 11-10번지,0,0,0,0,0,0,0,0,1
더블유타워,서울특별시 강남구 대치동 952-2번지,0,0,0,0,0,0,0,0,1
더샵 강동센트럴시티,서울특별시 강동구 천호동 410-100번지,1,1,1,1,0,0,1,0,0
더샵 둔촌포레,서울특별시 강동구 둔촌동 30-4번지,1,1,1,1,1,0,1,0,0
더샵 파크솔레이유 아파트,서울특별시 강동구 둔촌동 85-2번지,1,0,0,1,0,0,1,0,1
더샵 파크프레스티지,서울특별시 영등포구 신길동 145-40번지,0,1,1,1,0,0,0,0,1
더스타일하우스디센트럴,서울특별시 서대문구 충정로3가 72-1번지,0,0,1,1,0,0,0,0,1
더포디엄830,서울특별시 광진구 자양동 8-8번지,0,0,0,0,0,0,0,0,1
더플레이스충정로,서울특별시 중구 중림동 152-1번지,0,0,0,0,0,0,0,0,1
더헤리츠,서울특별시 구로구 고척동 97번지,0,1,1,0,0,1,0,0,0
덕화주택,서울특별시 양천구 신월동 118-14번지,0,1,0,1,0,0,0,0,1
도곡 월드메르디앙 아파트,서울특별시 강남구 도곡동 893-1번지,0,0,0,0,0,0,0,0,1
도곡 한라비발디,서울특별시 강남구 도곡동 893-2번지,0,0,1,1,0,0,0,0,1
도곡동547-1일원 가로주택정비사업,서울특별시 강남구 도곡동 547-1번지,1,0,0,0,0,0,1,1,0
도림16구역 주택재개발정비사업 신축공사,서울특별시 영등포구 도림동 162-94번지,1,0,1,1,0,0,1,0,1
도봉 아테라,서울특별시 도봉구 도봉동 95-3번지,1,0,1,1,0,0,1,0,1
"도봉동 561-6,13 도시형생활주택 신축공사",서울특별시 도봉구 도봉동 561-6번지,0,0,0,0,0,0,0,0,1
도봉숲 아뜨리움,서울특별시 도봉구 도봉동 593-37번지,0,0,0,1,0,1,0,0,1
도선동 2030청년주택,서울특별시 성동구 도선동 286번지,1,0,1,0,1,0,1,0,1
도선동 역세권 청년주택,서울특별시 성동구 도선동 286번지,1,0,1,0,1,0,1,0,1
도시형생활주택,서울특별시 송파구 가락동 146-6번지,0,0,0,0,0,0,0,0,1
독산 오르페움타워,서울특별시 금천구 독산동 989번지,0,0,0,1,0,0,0,0,1
독산동 302-24 도시형생활주택(원룸형),서울특별시 금천구 독산동 302-24번지,0,0,0,0,1,0,0,0,0
독산동 삼승아파트 재건축,서울특별시 금천구 독산동 966-1번지,0,0,1,1,0,0,0,0,0
독산동 지역주택조합 공동주택신축공사,서울특별시 금천구 독산동 954번지,0,0,0,0,0,0,0,0,1
독산우리텔,서울특별시 금천구 독산동 336-9번지,0,0,0,0,1,0,0,0,0
돈암동 해피트리 아파트,서울특별시 성북구 돈암동 642번지,0,0,1,1,0,0,0,0,1
돈암제6구역재개발 정비사업,서울특별시 성북구 돈암동 48-29번지,0,0,1,0,0,0,0,0,1
동구씨엠아파트,서울특별시 강서구 등촌동 511-4번지,0,0,0,0,1,0,0,0,0
동구햇살아파트,서울특별시 중랑구 중화동 304-32번지,0,0,0,0,1,0,0,0,0
동대문 더퍼스트 데시앙,서울특별시 동대문구 장안동 291-1번지,0,1,1,1,0,1,0,0,1
동도센트리움아파트,서울특별시 도봉구 창동 827번지,0,0,1,0,0,0,0,0,0
동숭아트리움93_성균관,서울특별시 종로구 명륜2가 93번지,0,0,0,0,0,0,0,0,1
동신아파트 소규모재건축,서울특별시 성북구 하월곡동 70-4번지,1,0,1,0,0,0,1,0,0
동아아파트,서울특별시 성동구 성수동1가 656-320번지,0,0,0,1,0,0,0,0,0
동아에코빌아파트,서울특별시 도봉구 도봉동 654번지,0,0,0,0,1,0,0,0,0
동원데쟈뷰,서울특별시 중랑구 상봉동 333-3번지,0,0,0,1,1,0,0,0,0
동작 하이팰리스,서울특별시 동작구 상도동 23-42번지,0,0,0,0,0,0,0,0,1
동작구 어르신 자립형 공공임대주택 및 구립 은하어린이집,서울특별시 동작구 대방동 407-40번지,0,0,0,0,0,0,0,0,1
두암빌라 소규모재건축정비사업,서울특별시 구로구 온수동 7-5번지,1,0,1,1,0,0,1,0,1
둔촌역 아치스톤,서울특별시 강동구 성내동 412번지,0,0,1,0,0,0,0,0,0
등촌 센트럴 르씨엘,서울특별시 강서구 등촌동 852번지,0,0,0,0,1,0,0,0,0
"등촌 지와인 아파트, 비지니스센터",서울특별시 강서구 등촌동 633-12번지,0,0,0,0,0,0,0,0,1
등촌1구역 재건축,서울특별시 강서구 등촌동 366-24번지,0,0,1,1,0,0,0,0,0
등촌동 장기전세주택,서울특별시 강서구 등촌동 661-6번지,1,0,1,0,0,0,1,0,1
등촌동리본타워,서울특별시 강서구 등촌동 661-6번지,1,0,1,0,0,0,1,0,1
등촌역 역세권 청년주택,서울특별시 강서구 등촌동 533-2번지,0,0,1,0,0,0,0,0,0
등촌제이스카이,서울특별시 강서구 염창동 311번지,0,0,1,0,1,0,0,0,1
디에이치 반포 라클라스,서울특별시 서초구 반포동 32-8번지,1,1,1,1,0,1,1,0,1
디에이치 자이 개포,서울특별시 강남구 일원동 611-1번지,0,1,1,1,0,0,0,0,1
디에이치아너힐즈,서울특별시 강남구 개포동 138번지,0,0,1,0,0,0,0,0,0
디큐브시티,서울특별시 구로구 신도림동 692번지,1,0,1,1,1,1,1,0,1
라봄 성동,서울특별시 성동구 마장동 339-2번지,0,0,0,0,0,0,0,0,1
라온프라이빗,서울특별시 중랑구 면목동 1544번지,0,1,1,1,0,0,0,0,1
라이품,서울특별시 강서구 가양동 1457-1번지,0,0,0,0,0,0,0,0,1
라이프타운,서울특별시 구로구 궁동 134-2번지,0,0,0,0,0,0,0,0,1
래미안 개포 루체하임,서울특별시 강남구 일원동 689-1번지,0,0,1,1,0,0,0,0,0
래미안 대치 팰리스,서울특별시 강남구 대치동 633번지,1,1,1,1,0,1,1,0,1
래미안 라그란데,서울특별시 동대문구 이문동 257-42번지,0,1,1,1,0,0,0,0,1
래미안 로이파크,서울특별시 동작구 사당동 167-19번지,1,1,1,1,1,0,1,1,1
래미안 루센티아,서울특별시 서대문구 남가좌동 175번지,1,1,1,1,0,1,1,1,1
래미안 마포 리버웰,서울특별시 마포구 용강동 285번지,1,1,1,1,0,1,1,0,1
래미안 목동아델리체,서울특별시 양천구 신정동 1175-28번지,1,1,1,1,0,0,1,0,1
래미안 미드카운티,서울특별시 동대문구 답십리동 98번지,1,1,1,1,0,1,1,0,1
래미안 베라힐즈,서울특별시 은평구 녹번동 19번지,1,0,1,1,0,0,1,0,1
래미안 서초 에스티지S,서울특별시 서초구 서초동 1331번지,0,1,1,1,0,0,0,0,1
래미안 서초스위트,서울특별시 서초구 서초동 1301-6번지,0,1,1,1,1,0,0,0,0
래미안 송파 파인탑,서울특별시 송파구 송파동 167번지,1,0,1,1,0,0,1,0,1
래미안 신반포 팰리스,서울특별시 서초구 잠원동 57번지,1,0,1,1,0,1,1,0,0
래미안 아름숲,서울특별시 동대문구 전농동 688번지,0,0,1,1,0,1,0,0,1
래미안 아트리치,서울특별시 성북구 석관동 58-56번지,0,1,1,1,0,0,0,0,1
래미안 에스티지,서울특별시 서초구 서초동 1332-1번지,1,1,1,1,1,0,1,0,1
래미안 엘리니티,서울특별시 동대문구 용두동 753-9번지,1,1,1,1,0,1,1,0,1
래미안 옥수 리버젠,서울특별시 성동구 옥수동 500번지,1,1,1,1,0,1,1,0,1
래미안 원베일리,서울특별시 서초구 반포동 1-1번지,1,1,1,0,0,1,1,0,1
래미안 원펜타스,서울특별시 서초구 반포동 12번지,1,1,1,1,0,0,1,0,1
래미안 장위 퍼스트하이,서울특별시 성북구 장위동 173-114번지,1,1,1,1,1,1,1,0,1
래미안 크레시티,서울특별시 동대문구 전농동 440-9번지,1,1,1,1,0,0,1,0,1
래미안 트리베라 1차,서울특별시 강북구 미아동 1268-1번지,1,1,1,1,0,0,1,0,1
래미안 트리베라 2차,서울특별시 강북구 미아동 1265-42번지,1,1,1,1,1,0,1,0,1
래미안 트윈파크(본동5 재개발아파트),서울특별시 동작구 본동 250번지,1,1,1,1,0,1,1,0,1
래미안강동팰리스,서울특별시 강동구 천호동 571번지,0,1,1,1,0,0,0,0,1
래미안월곡아파트,서울특별시 성북구 하월곡동 225번지,0,0,0,0,1,0,0,0,0
래미안위브,서울특별시 동대문구 답십리동 178번지,0,1,1,1,0,0,0,0,1
래미안종암2차,서울특별시 성북구 종암동 78번지,1,1,1,1,0,0,1,0,1
래미안트리베라아파트,서울특별시 강북구 미아동 812번지,0,0,0,0,0,0,0,0,1
래미인 그레이튼,서울특별시 강남구 역삼동 762번지,1,1,1,1,0,0,1,0,1
레미안 옥수리버젠,서울특별시 성동구 옥수동 562번지,0,0,0,0,0,0,0,0,1
렉스아파트,서울특별시 용산구 이촌동 300-3번지,1,0,1,1,0,0,1,0,0
롯데 캐슬 갤럭시 아파트,서울특별시 서초구 잠원동 50-1번지,0,0,0,0,1,0,0,0,0
롯데캐슬,서울특별시 양천구 신월동 432-6번지,0,0,1,1,0,0,0,0,1
롯데캐슬 리버파크 시그니처,서울특별시 광진구 자양동 236-9번지,1,1,1,1,0,0,1,0,1
롯데캐슬 아르떼,서울특별시 서초구 방배동 427-1번지,1,1,1,1,0,1,1,0,1
롯데캐슬 클라시아,서울특별시 성북구 길음동 508-16번지,1,1,1,1,0,0,1,0,1
루미아,서울특별시 성북구 하월곡동 88-513번지,0,1,0,0,0,0,0,1,1
리마크빌 구의,서울특별시 광진구 구의동 246-10번지,1,1,0,0,0,0,1,1,1
리버뷰 신안인스빌,서울특별시 영등포구 문래동4가 68번지,0,0,1,0,0,0,0,0,0
리치안 풍산아파트,서울특별시 구로구 온수동 154번지,0,0,1,0,0,0,0,0,0
림괄아파트,서울특별시 구로구 개봉동 199-4번지,0,0,1,1,0,0,0,0,1
마곡 13단지 힐스테이트 마스터,서울특별시 강서구 마곡동 748번지,1,1,1,1,1,1,1,0,0
마곡 노블리안 아파트,서울특별시 강서구 방화동 184-17번지,0,0,0,0,1,0,0,0,0
마곡 엠밸리 9단지,서울특별시 강서구 마곡동 744번지,0,0,1,1,0,0,0,0,1
마곡 우촌아파트,서울특별시 강서구 방화동 597번지,0,0,0,0,0,1,0,0,0
마곡 힐스테이트,서울특별시 강서구 공항동 4-8번지,1,1,1,1,0,0,1,0,0
마곡센트레빌,서울특별시 강서구 방화동 278-7번지,0,0,1,1,0,0,0,0,1
마곡엠밸리11단지,서울특별시 강서구 마곡동 746번지,0,1,1,1,0,0,0,0,1
마곡엠밸리12단지,서울특별시 강서구 마곡동 746-1번지,0,1,1,1,0,0,0,0,1
마곡엠밸리14단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,1
마곡엠밸리15단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,1
마곡엠밸리1단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
마곡엠밸리2단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
마곡엠밸리3단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
마곡엠밸리4단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
마곡엠밸리5단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
마곡엠밸리6단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,1
마곡엠밸리7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,1
마곡엠밸리8단지,서울특별시 강서구 마곡동 741번지,1,0,1,1,0,0,1,0,1
마곡지구 16단지 아파트,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,0
마곡지구 9단지 SH 아파트,서울특별시 강서구 마곡동 블록,0,0,1,1,0,0,0,0,1
마곡지구 SH아파트 7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,1
마루하우스,서울특별시 동대문구 장안동 94-27번지,0,0,0,0,0,0,0,0,1
마이플레이스,서울특별시 강남구 역삼동 792-7번지,0,0,0,0,0,0,0,0,1
마장동 역세권 청년주택 개발사업,서울특별시 성동구 마장동 339-2번지,0,0,0,0,0,0,0,0,1
마천지구 3단지,서울특별시 송파구 마천동 블록,0,0,0,0,1,0,0,0,0
마포 하늘채 더리버,서울특별시 마포구 용강동 39-1번지,1,0,0,0,0,0,1,0,1
마포구 공덕6구역 주택재개발 아파트,서울특별시 마포구 공덕동 119번지,1,1,1,1,1,0,1,0,0
마포구 신공덕동 00도시형주택 신축공사,서울특별시 마포구 신공덕동 5-27번지,0,0,0,0,1,0,0,0,0
마포동원베네스트아파트,서울특별시 마포구 도화동 564번지,0,0,1,0,0,0,0,0,1
마포래미안푸르지오,서울특별시 마포구 아현동 635번지,1,1,1,1,0,0,1,0,1
"마포로 5구역 10,11지구 도시재개발정비사업",서울특별시 중구 중림동 186-1번지,1,1,1,1,1,0,1,0,0
마포로3-3 조합아파트,서울특별시 마포구 아현동 613-10번지,1,0,1,1,0,0,1,0,0
